0,1,2,3
255705,105137,189091,166095
35095,34997,44268,29189
61221,65985,102081,114027
42436,26580,77239,27699
8045,27470,8507,10622
36557,54943,54998,25243
136875,142663,200960,135388
26579,26781,55145,21151
1150,1080,812,876
17321,16592,26669,17398
51193,27884,51087,22856
7120,6094,7763,8324
324204,319909,289919,310387
6228,4873,9385,7216
4868,7591,6829,7570
1146,1563,2063,1380
125186,100485,160889,95332
1144,952,1384,558
11222,14870,8855,12568
72279,64432,77099,113221
646,1358,972,1091
21754,29421,31051,29672
17129,23549,22719,19839
15316,12106,18637,11196
0,0,0,0
748,467,939,658
46213,37838,34122,39103
13014,15151,12592,17041
102307,78775,114434,75251
97011,73459,64861,84104
94139,81393,126987,130219
65414,78184,92999,32982
64875,147632,162754,74449
45538,52045,58919,55672
49185,75994,66492,59223
6095,7021,9922,5261
10547,12798,14241,10638
26767,50967,63519,41399
5587,12827,13875,11331
5810,8991,11903,7044
3785,5767,5565,6255
61279,52746,104369,64662
13,59,28,75
106058,126467,156381,181813
18102,18379,19527,6708
639387,362468,609671,541327
309172,290502,318478,215846
56681,52916,144949,76105
11549,18122,21890,17845
25974,29020,25160,24007
